곱,한우황소 곱창 #모듬구이,서울 마포구 도화길 31-1 도화동 179-11,,,,,
유니크디저트,유니크마카롱,서울 마포구 와우산로 159 서교동 326-10 1층,,,,,
밥해주는남자,차돌떡볶이 #통오징어떡볶이,서울 마포구 성미산로 152 연남동 239-48,,,,,
이태리총각,비프 까르파치오,서울 종로구 자하문로9길 11 통인동 137-7,,,,,
오통영,메셍이굴국밥,서울 용산구 이촌동 300-3 렉스상가 12-2,,,,,
부자피자 1호점,부자 클라시카 피자,서울 용산구 이태원로55가길 28 한남동 743-33 1층 부자피자,,,,,
토속촌삼계탕,토속촌삼계탕,서울 종로구 자하문로5길 5 체부동 85-1 토속촌,,,,,
마녀김밥,미녀김밥,서울 강남구 압구정로79길 32 청담동 124-11,,,,,
속초코다리냉면,코다리냉면,서울 강남구 압구정로 343 압구정동 494 갤러리아백화점명품관WEST B1,,,,,
브루클린 더버거 조인트,브루클린웍스,서울 강남구 봉은사로84길 10 삼성동 146-23,,,,,
세미계,닭목살,"서울 용산구 대사관로 34, 한남동 653-95",,,,,
문화갈비,갈비,경북 안동시 음식의길 32-9 동부동 115-4,,,,,
돈까스잔치,잔치국수 #비빔국수,서울 용산구 서빙고로 297 동빙고동94,,,,,
남도분식,빨콩떡볶이 #상추튀김,서울 종로구 옥인길 33 누상동 52-2,,,,,
사대부집 곳간,마떡갈비 구이 반상,"서울 영등포구 여의대로 24 여의도동 28-1 전경련회관 50, 51F",,,,,
동빙고,팥빙수,서울 용산구 이촌로 319 이촌동 301-162 현대아파트,,,,,
플로이,세트타르틴,서울 종로구 필운대로 17 필운동 90-1,,,,,
더루시파이키친,초콜렛 머드파이,서울 용산구 이촌로 182 이촌동 302-68 풍원상가 1F,,,,,
두물머리연핫도그,연핫도그,경기 양평군 양서면 두물머리길 103-8 양수리 781,,,,,
아우어베이커리,플랫화이트,서울 강남구 도산대로 45길 10-11 신사동 648-15 JYC2빌딩,,,,,
코끼리만두,김치만두,서울 강서구 공항대로51길 27 등촌동 654-78,,,,,
오모리찌개,오모리찌개 #옛날 손짜장,서울 송파구 송파대로 471 석촌동 183-3,,,,,
진도리 닭도리탕,오리지날 진도리,서울 강남구 강남대로122길 15 논현동 163-17 상당빌딩,,,,,
창화당,모둠만두 #떡볶이,서울 종로구 수표로28길 23 익선동 174 1층,,,,,
숙자네,대구탕 #황태북어국,서울특별시 영등포구 국제금융로 6길 33 여의도동 36-2 여의도백화점 지하 1층,,,,,
